OMB Control No,Agency/Sub,Title,Request Type,Date Received,Concluded Date,Conclusion Action,Current Expiration Date,No. of ICs,No. of Forms,AdminYear,Web_ICR Ref. No.,Web_Request Type,Web_Date Received By OIRA,Web_Conclusion Date,Web_Conclusion Action,Request Year
0579-0124,USDA/APHIS,Imported Seed and Screenings (Foreign),Extension without change of a currently approved collection,7/9/2013 0:00,8/15/2013 0:00,Approved without change,8/31/2016 0:00,2,3,2016,202405-0579-007,No material or nonsubstantive change to a currently approved collection,6/3/2024,9/13/2024,Approved without change,2024
0579-0141,USDA/APHIS,Importation of Products of Poultry and Birds,Revision of a currently approved collection,3/7/2013 0:00,7/2/2013 0:00,Approved with change,7/31/2016 0:00,2,0,2016,201301-0579-015,Discontinue,7/19/2016,7/19/2016,Approved,2016
0579-0155,USDA/APHIS,Irradiation Phytosanitary Treatment of Imported Fruits and Vegetables,Revision of a currently approved collection,3/20/2013 0:00,7/2/2013 0:00,Approved with change,7/31/2016 0:00,2,1,2016,202211-0579-001,Revision of a currently approved collection,1/31/2023,5/14/2024,Approved with change,2023
0579-0172,USDA/APHIS,Importation of Mangoes from the Philippines,Extension without change of a currently approved collection,9/4/2013 0:00,10/23/2013 0:00,Approved without change,11/30/2016 0:00,2,1,2016,201308-0579-004,Discontinue,10/27/2016,11/7/2016,Approved,2016
0579-0176,USDA/APHIS,Importation of Artificially Dwarfed Plants,Extension without change of a currently approved collection,9/4/2013 0:00,10/23/2013 0:00,Approved without change,11/30/2016 0:00,2,0,2016,201308-0579-007,Discontinue,10/27/2016,11/7/2016,Approved,2016
0579-0205,USDA/APHIS,National Animal Health Monitoring System; Dairy 2014 Study,Reinstatement with change of a previously approved collection,7/30/2013 0:00,9/30/2013 0:00,Approved with change,9/30/2016 0:00,2,10,2016,201307-0579-003,Discontinue,9/8/2016,9/16/2016,Approved,2016
0579-0218,USDA/APHIS,"Importation of Live Swine Pork and Pork Products, and Swine Semen from the European Union",Revision of a currently approved collection,3/26/2013 0:00,7/2/2013 0:00,Approved without change,7/31/2016 0:00,1,2,2016,202401-0579-002,Revision of a currently approved collection,2/6/2024,7/8/2024,Approved without change,2024
0579-0221,USDA/APHIS,Certification Program for Imported Articles to Prevent Introduction of Potato Brown Rot,Revision of a currently approved collection,5/7/2013 0:00,8/16/2013 0:00,Approved without change,8/31/2016 0:00,2,0,2016,201211-0579-003,Discontinue,8/26/2016,8/26/2016,Approved,2016
0579-0224,USDA/APHIS,Tuberculosis Testing of Imported Cattle from Mexico,Revision of a currently approved collection,6/4/2013 0:00,10/23/2013 0:00,Approved without change,11/30/2016 0:00,2,2,2016,201304-0579-002,Discontinue,10/27/2016,11/7/2016,Approved,2016
0579-0232,USDA/APHIS,Standards for Privately Owned Quarantine Facilities for Ruminants,Revision of a currently approved collection,11/19/2012 0:00,1/14/2013 0:00,Approved with change,2/1/2016 0:00,1,0,2016,202206-0579-003,Extension without change of a currently approved collection,8/1/2022,1/22/2024,Approved without change,2022
0579-0259,USDA/APHIS,"Animal Disease Tracebility Information Systems, Agreements, and Reports",Revision of a currently approved collection,7/31/2013 0:00,11/21/2013 0:00,Approved with change,11/30/2016 0:00,2,0,2016,201201-0579-005,Discontinue,11/17/2016,11/22/2016,Approved,2016
0579-0271,USDA/APHIS,Cut Flowers from Countries with Chrysanthemum White Rust,Revision of a currently approved collection,6/5/2013 0:00,8/16/2013 0:00,Approved without change,8/31/2016 0:00,2,0,2016,201305-0579-002,Discontinue,8/26/2016,8/26/2016,Approved,2016
0579-0297,USDA/APHIS,National Veterinary Accreditation Program,Revision of a currently approved collection,11/26/2012 0:00,2/13/2013 0:00,Approved without change,3/2/2016 0:00,1,1,2016,202409-0579-001,No material or nonsubstantive change to a currently approved collection,9/5/2024,1/16/2025,Approved without change,2024
0579-0307,USDA/APHIS,"IMPORTATION OF SWINE HIDES, BIRD TROPHIES, AND DEER HIDES",Revision of a currently approved collection,2/13/2013 0:00,5/15/2013 0:00,Approved with change,5/31/2016 0:00,2,0,2016,202204-0579-002,Revision of a currently approved collection,4/21/2022,1/22/2024,Approved without change,2022
0579-0308,USDA/APHIS,Importation of Fruit from Thailand,Extension without change of a currently approved collection,5/7/2013 0:00,7/2/2013 0:00,Approved without change,7/31/2016 0:00,1,0,2016,201611-0579-004,Discontinue,10/16/2019,10/21/2019,Approved,2019
0579-0311,USDA/APHIS,APHIS Pest Reporting Form (Formerly called ALB Beetlebuster Survey),Extension without change of a currently approved collection,3/20/2013 0:00,5/23/2013 0:00,Approved without change,5/31/2016 0:00,1,1,2016,202312-0579-001,Revision of a currently approved collection,12/21/2023,3/26/2024,Approved with change,2023
0579-0312,USDA/APHIS,Importation of Mangoes from India,Extension without change of a currently approved collection,3/18/2013 0:00,6/25/2013 0:00,Approved without change,6/30/2016 0:00,2,0,2016,201608-0579-002,Discontinue,3/26/2019,3/26/2019,Approved,2019
0579-0313,USDA/APHIS,"Permanent, Privately Owned Horse Quarantine Facilities",Revision of a currently approved collection,5/7/2013 0:00,12/13/2013 0:00,Approved without change,12/31/2016 0:00,2,0,2016,202204-0579-004,Revision of a currently approved collection,5/10/2022,1/22/2024,Approved without change,2022
0579-0314,USDA/APHIS,Importation of Unshu Oranges From the Republic of Korea into the Continental United States,Revision of a currently approved collection,3/20/2013 0:00,5/23/2013 0:00,Approved without change,5/31/2016 0:00,2,0,2016,201708-0579-001,Discontinue,10/16/2019,10/21/2019,Approved,2019
0579-0316,USDA/APHIS,14th Periodic Amendment; Importation of Fruits and Vegetables,Extension without change of a currently approved collection,6/18/2013 0:00,8/6/2013 0:00,Approved without change,8/31/2016 0:00,2,1,2016,201305-0579-008,Discontinue,8/26/2016,8/26/2016,Approved,2016
0579-0342,USDA/APHIS,Recordkeeping for Approved Livestock Facilities and Slaughtering and Rendering Establishments,New collection (Request for a new OMB Control Number),6/12/2013 0:00,3/18/2014 0:00,Approved without change,3/31/2016 0:00,1,1,2016,201212-0579-008,Discontinue,3/10/2016,3/11/2016,Approved,2016
0579-0360,USDA/APHIS,Stakeholder/Customer Service Survey,Extension without change of a currently approved collection,1/3/2013 0:00,2/13/2013 0:00,Approved without change,3/1/2016 0:00,2,2,2016,201301-0579-002,Discontinue,2/18/2016,3/1/2016,Approved,2016
0579-0361,USDA/APHIS,Submission of Itineraries,Revision of a currently approved collection,2/26/2013 0:00,5/22/2013 0:00,Approved without change,5/31/2016 0:00,2,0,2016,201302-0579-006,Discontinue,5/10/2016,5/11/2016,Approved,2016
0579-0366,USDA/APHIS,Importation of Shepherd's Purse with Roots from the Republic of Korea into the United States,Revision of a currently approved collection,9/16/2013 0:00,11/21/2013 0:00,Approved without change,11/30/2016 0:00,2,0,2016,201308-0579-005,Discontinue,11/17/2016,11/22/2016,Approved,2016
0579-0384,USDA/APHIS,Controlled Import Permits,New collection (Request for a new OMB Control Number),5/2/2013 0:00,12/13/2013 0:00,Approved without change,1/9/2017 0:00,2,1,2016,201301-0579-011,Discontinue,12/6/2016,1/9/2017,Approved,2016
0579-0386,USDA/APHIS,Importation of Litchi Fruit from Australia,New collection (Request for a new OMB Control Number),9/23/2013 0:00,11/21/2013 0:00,Approved without change,11/30/2016 0:00,2,0,2016,201301-0579-012,Discontinue,11/17/2016,11/22/2016,Approved,2016
0579-0388,USDA/APHIS,Traceability for Livestock Moving Interstate,New collection (Request for a new OMB Control Number),1/11/2013 0:00,5/15/2013 0:00,Approved without change,6/1/2016 0:00,2,0,2016,201212-0579-006,Discontinue,5/23/2016,6/1/2016,Approved,2016
0579-0390,USDA/APHIS,Importation of Chinese Sand Pears from China,New collection (Request for a new OMB Control Number),12/19/2012 0:00,2/13/2013 0:00,Approved without change,3/2/2016 0:00,2,0,2016,201512-0579-002,Discontinue,3/26/2019,3/26/2019,Approved,2019
0579-0392,USDA/APHIS,Animal Welfare; Retail Pet Stores and Licensing Exemptions,New collection (Request for a new OMB Control Number),9/18/2013 0:00,11/21/2013 0:00,Approved without change,11/30/2016 0:00,1,8,2016,201301-0579-006,Discontinue,11/17/2016,11/22/2016,Approved,2016
0579-0394,USDA/APHIS,Importation of Fresh Bananas from the Philippines into the Continental United States,New collection (Request for a new OMB Control Number),2/7/2013 0:00,4/10/2013 0:00,Approved without change,5/3/2016 0:00,2,0,2016,201702-0579-001,Discontinue,3/26/2019,3/26/2019,Approved,2019
0579-0397,USDA/APHIS,"Prohibited and Restricted Importation of Animal and Poultry Products (Milk and Eggs), into the United States",New collection (Request for a new OMB Control Number),7/30/2012 0:00,2/18/2013 0:00,Approved with change,3/2/2016 0:00,2,3,2016,201207-0579-007,Discontinue,2/24/2016,3/2/2016,Approved,2016
0579-0398,USDA/APHIS,NAHMS Needs Assessment Survey,New collection (Request for a new OMB Control Number),11/6/2012 0:00,2/18/2013 0:00,Approved with change,3/1/2016 0:00,4,5,2016,201210-0579-001,Discontinue,2/24/2016,3/1/2016,Approved,2016
0579-0399,USDA/APHIS,NAHMS Equine Herpesvirus Study,Extension without change of a currently approved collection,7/9/2013 0:00,8/15/2013 0:00,Approved without change,8/31/2016 0:00,4,2,2016,201306-0579-003,Discontinue,8/26/2016,8/26/2016,Approved,2016
0579-0401,USDA/APHIS,"Importation of Fresh Citrus Fruit from Uruguay, Including Citrus Hybrids and Fortunella spp., into the Continental United States.",New collection (Request for a new OMB Control Number),7/10/2013 0:00,8/16/2013 0:00,Approved without change,8/31/2016 0:00,2,0,2016,201702-0579-004,Discontinue,10/16/2019,10/21/2019,Approved,2019
0579-0404,USDA/APHIS,National Animal Health Monitoring System: Layers 2013 Study,New collection (Request for a new OMB Control Number),11/28/2012 0:00,4/25/2013 0:00,Approved with change,4/30/2016 0:00,2,2,2016,201209-0579-004,Discontinue,4/7/2016,4/21/2016,Approved,2016
0579-0409,USDA/APHIS,National Veterinary Services Laboratories; Bovine Spongiform,Existing collection in use without an OMB Control Number,3/25/2013 0:00,10/23/2013 0:00,Approved without change,11/30/2016 0:00,2,6,2016,202308-0579-004,Revision of a currently approved collection,8/24/2023,3/26/2024,Approved without change,2023
0579-0436,USDA/APHIS,Highly Pathogenic Avian Influenza - Preparedness Questionnaires,New collection (Request for a new OMB Control Number),7/24/2015 0:00,8/5/2015 0:00,Approved with change,3/2/2016 0:00,2,0,2016,201507-0579-003,Discontinue,2/25/2016,3/2/2016,Approved,2016
0579-0438,USDA/APHIS,Brucellosis Class Free States and Certified Brucellosis-Free Herds; Revisions to Testing and Certification Requirements,Existing collection in use without an OMB Control Number,11/25/2014 0:00,9/14/2015 0:00,Approved with change,4/30/2016 0:00,1,0,2016,201409-0579-002,Discontinue,3/23/2016,4/12/2016,Approved,2016
0581-0235,USDA/AMS,Farmers Market Promotion Program (FMPP),Revision of a currently approved collection,3/28/2014 0:00,5/2/2014 0:00,Approved without change,11/30/2016 0:00,1,6,2016,201401-0581-004,Discontinue,11/23/2016,11/28/2016,Approved,2016
0581-0248,USDA/AMS,Specialty Crop Block Grant Program (2008 Farm Bill),Revision of a currently approved collection,5/12/2015 0:00,6/22/2015 0:00,Approved without change,11/30/2016 0:00,1,1,2016,201504-0581-001,Discontinue,11/23/2016,11/28/2016,Approved,2016
0581-0264,USDA/AMS,"Softwood Lumber Research, Promotion, Consumer Education & Industry Information Order",Extension without change of a currently approved collection,7/17/2013 0:00,8/16/2013 0:00,Approved without change,3/31/2016 0:00,2,7,2016,201306-0581-003,Discontinue,2/29/2016,3/1/2016,Approved,2016
0581-0281,USDA/AMS,"Paper & Paper-Based Packaging Promotion, Research & Information Order (Order)",New collection (Request for a new OMB Control Number),1/24/2014 0:00,3/12/2014 0:00,Approved with change,11/30/2016 0:00,2,5,2016,201401-0581-003,Discontinue,11/23/2016,11/28/2016,Approved,2016
0581-0284,USDA/AMS,Florida Citrus,New collection (Request for a new OMB Control Number),5/29/2013 0:00,7/2/2013 0:00,Approved without change,2/29/2016 0:00,1,1,2016,201305-0581-002,Discontinue,2/1/2016,2/8/2016,Approved,2016
0581-0287,USDA/AMS,Local Food Promotion Program,Revision of a currently approved collection,8/6/2014 0:00,9/16/2014 0:00,Approved without change,11/30/2016 0:00,1,10,2016,201406-0581-001,Discontinue,11/23/2016,11/28/2016,Approved,2016
0581-0288,USDA/AMS,National Organic Program: Organic Certification Cost-Share Programs,Revision of a currently approved collection,8/6/2014 0:00,9/25/2014 0:00,Approved without change,3/31/2016 0:00,2,6,2016,201407-0581-001,Discontinue,3/10/2016,3/14/2016,Approved,2016
0581-0289,USDA/AMS,Local Food Marketing Directories & Survey,New collection (Request for a new OMB Control Number),4/30/2014 0:00,5/30/2014 0:00,Approved without change,8/31/2016 0:00,1,3,2016,201403-0581-005,Discontinue,8/3/2016,8/10/2016,Approved,2016
0583-0155,USDA/FSIS,Generic Label Approval,New collection (Request for a new OMB Control Number),11/7/2013 0:00,12/13/2013 0:00,Approved without change,10/31/2016 0:00,1,1,2016,201303-0583-002,Discontinue,10/6/2016,10/6/2016,Approved,2016
0583-0162,USDA/FSIS,Egg Product Industry Survey,New collection (Request for a new OMB Control Number),10/17/2013 0:00,12/13/2013 0:00,Approved with change,12/31/2016 0:00,2,1,2016,201307-0583-003,Discontinue,11/28/2016,11/28/2016,Approved,2016
0584-0075,USDA/FNS,Annual Report of State Revenue Matching,Revision of a currently approved collection,2/5/2014 0:00,3/12/2014 0:00,Approved without change,1/31/2016 0:00,1,1,2016,201311-0584-007,Discontinue,1/13/2016,1/22/2016,Approved,2016
0584-0501,USDA/FNS,Supplemental Form for Collecting Taxpayer Identifying Numbers,Extension without change of a currently approved collection,2/11/2013 0:00,3/13/2013 0:00,Approved without change,3/31/2016 0:00,2,2,2016,201301-0584-002,Discontinue,3/21/2016,3/21/2016,Approved,2016
0584-0542,USDA/FNS,Education Administrative Reporting System (EARS),Extension without change of a currently approved collection,7/30/2013 0:00,8/29/2013 0:00,Approved without change,8/31/2016 0:00,1,1,2016,201306-0584-007,Discontinue,8/3/2016,8/4/2016,Approved,2016
0584-0562,USDA/FNS,Special Nutrition Program Operations Study (SNOPS),Revision of a currently approved collection,3/19/2014 0:00,4/21/2014 0:00,Approved without change,4/30/2016 0:00,4,0,2016,201312-0584-003,Discontinue,4/6/2016,4/7/2016,Approved,2016
0584-0576,USDA/FNS,Nutrition Standards for All Foods Sold in School As Required by the HHFKA 2010 (Competitive Foods Rule 0584-AE09),New collection (Request for a new OMB Control Number),7/2/2013 0:00,8/14/2013 0:00,Approved without change,2/29/2016 0:00,3,0,2016,201306-0584-006,Discontinue,2/3/2016,2/3/2016,Approved,2016
0584-0577,USDA/FNS,"National School Lunch Program: Direct Certification Continuous Improvement Plans Required by the Healthy, Hunger-Free Kids Act of 2010 (0584-AE10)",No material or nonsubstantive change to a currently approved collection,9/9/2013 0:00,9/10/2013 0:00,Approved without change,5/2/2016 0:00,1,1,2016,201608-0584-001,Discontinue,12/12/2019,12/17/2019,Approved,2019
0584-0582,USDA/FNS,Assessment of the Contribution of an Interview to SNAP Program Eligibility and Benefit Determination Study,No material or nonsubstantive change to a currently approved collection,1/15/2014 0:00,1/16/2014 0:00,Approved without change,5/31/2016 0:00,4,0,2016,201401-0584-001,Discontinue,5/10/2016,5/18/2016,Approved,2016
0584-0583,USDA/FNS,Study of the Food Distribution Program on Indian Reservations (FDPIR),New collection (Request for a new OMB Control Number),4/24/2013 0:00,8/6/2013 0:00,Approved with change,4/30/2016 0:00,3,0,2016,201304-0584-001,Discontinue,4/7/2016,4/7/2016,Approved,2016
0584-0586,USDA/FNS,The Evaluation of Demonstrations of NSLP/SBP Direct Certification of Children Receiving Medicaid Benefits,No material or nonsubstantive change to a currently approved collection,11/13/2013 0:00,11/14/2013 0:00,Approved without change,4/30/2016 0:00,2,0,2016,201311-0584-003,Discontinue,4/6/2016,4/7/2016,Approved,2016
0584-0588,USDA/FNS,"Professional Standards for State and Local School Nutrition Programs Personnel as Required by the Healthy, Hunger-Free Kids Acts of 2010",New collection (Request for a new OMB Control Number),3/3/2015 0:00,4/10/2015 0:00,Approved without change,2/29/2016 0:00,1,0,2016,201502-0584-002,Discontinue,2/3/2016,2/3/2016,Approved,2016
0584-0593,USDA/FNS,Farm to School Census,No material or nonsubstantive change to a currently approved collection,2/13/2015 0:00,2/25/2015 0:00,Approved without change,2/29/2016 0:00,8,0,2016,201502-0584-001,Discontinue,2/9/2016,2/10/2016,Approved,2016
0584-0595,USDA/FNS,Evaluation of the Summer Food Service Program (SFSP) Participant Characteristics,No material or nonsubstantive change to a currently approved collection,12/15/2014 0:00,12/15/2014 0:00,Approved without change,4/30/2016 0:00,6,0,2016,201411-0584-002,Discontinue,4/6/2016,4/7/2016,Approved,2016
0596-0016,USDA/FS,Application for a Permit for Non-Federal Commercial Use of Roads Restricted by Regulation or Order,No material or nonsubstantive change to a currently approved collection,2/10/2014 0:00,2/13/2015 0:00,Approved without change,7/31/2016 0:00,2,10,2016,202201-0596-001,Revision of a currently approved collection,4/12/2022,5/9/2024,Approved with change,2022
0596-0105,USDA/FS,Land Exchanges,Revision of a currently approved collection,4/24/2013 0:00,7/31/2013 0:00,Approved without change,7/31/2016 0:00,1,0,2016,202201-0596-004,Extension without change of a currently approved collection,11/29/2022,4/22/2024,Approved with change,2022
0596-0158,USDA/FS,"Objections to New Land Management Plans, Plan Amendments, and Plan Revisions",Revision of a currently approved collection,2/5/2013 0:00,7/18/2013 0:00,Approved without change,7/31/2016 0:00,3,0,2016,201301-0596-002,Discontinue,7/7/2016,7/8/2016,Approved,2016
0596-0172,USDA/FS,Project Level Pre-decisional Administrative Review Process,Revision of a currently approved collection,3/27/2013 0:00,9/24/2013 0:00,Approved without change,9/30/2016 0:00,1,0,2016,201302-0596-006,Discontinue,9/19/2016,9/30/2016,Approved,2016
0596-0201,USDA/FS,The Role of Local Communities in the Development of Agreement or Contract Plans through Stewardship Contracting,Revision of a currently approved collection,12/26/2012 0:00,7/17/2013 0:00,Approved without change,7/31/2016 0:00,4,0,2016,201608-0596-003,Discontinue,3/18/2021,3/26/2021,Approved,2021
0596-0232,USDA/FS,Arapaho-Roosevelt National Forest Transportation System Alternatives Study,New collection (Request for a new OMB Control Number),4/12/2013 0:00,2/27/2014 0:00,Approved with change,12/31/2016 0:00,2,0,2016,201304-0596-001,Discontinue,12/28/2016,12/28/2016,Approved,2016
0607-0963,DOC/CENSUS,2015 Management and Organizational Practices Survey,No material or nonsubstantive change to a currently approved collection,12/29/2015 0:00,2/7/2016 0:00,Approved without change,12/31/2016 0:00,1,1,2016,202111-0607-002,Discontinue,12/4/2023,12/27/2023,Approved,2023
0607-0981,DOC/CENSUS,2015 Census Test,No material or nonsubstantive change to a currently approved collection,6/19/2015 0:00,7/8/2015 0:00,Approved with change,3/31/2016 0:00,10,3,2016,201506-0607-003,Discontinue,1/11/2016,1/13/2016,Approved,2016
0607-0983,DOC/CENSUS,Comparing Health Insurance Measurement Error (CHIME),New collection (Request for a new OMB Control Number),5/12/2015 0:00,5/14/2015 0:00,Approved without change,12/31/2016 0:00,1,0,2016,201505-0607-002,Discontinue,12/2/2016,12/7/2016,Approved,2016
0625-0240,DOC/ITA,Implementation of Tariff Rate Quota Established Under Title V of the Trade and Development Act of 2000 for Imports of Certain Worsted Wool Fabric,Revision of a currently approved collection,11/13/2013 0:00,12/12/2013 0:00,Approved without change,12/31/2016 0:00,2,4,2016,201307-0625-001,Discontinue,12/9/2016,12/12/2016,Approved,2016
0625-0241,DOC/ITA,Survey of Non-Tariff Trade Barriers to the U.S. Environmental Industry,Extension without change of a currently approved collection,6/27/2013 0:00,8/2/2013 0:00,Approved without change,7/31/2016 0:00,1,1,2016,201302-0625-001,Discontinue,7/11/2016,7/11/2016,Approved,2016
0625-0267,DOC/ITA,Procedures for Considering Requests and Comments from the Public under the Textile Safeguard Provision of the United States – Peru Trade Promotion Agreement,Extension without change of a currently approved collection,11/8/2013 0:00,12/12/2013 0:00,Approved without change,12/31/2016 0:00,2,0,2016,201309-0625-001,Discontinue,12/9/2016,12/12/2016,Approved,2016
0648-0398,DOC/NOAA,Alaska Pacific Halibut and Sablefish Individual Fishing Quota Cost Recovery,Extension without change of a currently approved collection,8/18/2015 0:00,10/28/2015 0:00,Approved without change,1/31/2016 0:00,2,2,2016,201508-0648-006,Discontinue,1/7/2016,1/7/2016,Approved,2016
